Q15_1,Q15_2_M2,Q19,Q26,Q33,cluster
23.0,60.0,1.0,1.0,3.0,2
0.0,60.0,0.0,1.0,3.0,2
15.0,90.0,0.0,0.0,1.0,0
8.0,60.0,0.0,0.0,3.0,0
14.0,60.0,0.0,0.0,2.0,0
8.0,60.0,0.0,0.0,2.0,0
20.0,50.0,0.0,1.0,3.0,2
19.0,35.0,0.0,1.0,3.0,2
10.0,50.0,1.0,1.0,3.0,2
10.0,210.0,1.0,0.0,3.0,3
9.0,60.0,0.0,1.0,4.0,2
22.0,90.0,1.0,0.0,4.0,1
30.0,50.0,0.0,0.0,4.0,0
35.0,60.0,1.0,0.0,3.0,1
10.0,60.0,1.0,1.0,2.0,2
2.0,90.0,0.0,1.0,3.0,2
1.0,40.0,0.0,0.0,2.0,0
20.0,120.0,0.0,0.0,4.0,0
20.0,120.0,1.0,0.0,1.0,1
6.0,60.0,0.0,0.0,2.0,0
5.0,80.0,0.0,0.0,2.0,0
30.0,60.0,0.0,0.0,1.0,0
5.0,60.0,0.0,0.0,2.0,0
4.0,60.0,1.0,1.0,3.0,2
5.0,80.0,1.0,0.0,2.0,1
9.0,30.0,0.0,1.0,2.0,2
12.0,120.0,0.0,1.0,4.0,2
20.0,90.0,0.0,0.0,4.0,0
30.0,90.0,0.0,0.0,3.0,0
5.0,90.0,1.0,0.0,4.0,1
15.0,40.0,0.0,0.0,2.0,0
4.0,20.0,0.0,0.0,2.0,0
4.0,300.0,1.0,0.0,2.0,3
6.0,90.0,1.0,0.0,2.0,1
12.0,60.0,1.0,1.0,3.0,2
8.0,60.0,0.0,0.0,2.0,0
8.0,60.0,0.0,0.0,3.0,0
10.0,50.0,0.0,0.0,2.0,0
3.0,30.0,0.0,0.0,1.0,0
10.0,50.0,0.0,0.0,3.0,0
13.0,30.0,0.0,0.0,1.0,0
10.0,30.0,1.0,0.0,4.0,1
62.0,125.0,0.0,0.0,3.0,0
16.0,90.0,0.0,0.0,3.0,0
3.0,60.0,0.0,0.0,2.0,0
35.0,90.0,0.0,1.0,3.0,2
17.0,70.0,0.0,0.0,2.0,0
13.0,90.0,1.0,0.0,4.0,1
9.0,30.0,0.0,1.0,3.0,2
8.0,40.0,0.0,0.0,2.0,0
20.0,20.0,0.0,0.0,1.0,0
28.0,20.0,1.0,0.0,2.0,1
5.0,40.0,0.0,0.0,3.0,0
2.0,30.0,0.0,0.0,2.0,0
2.0,40.0,0.0,0.0,3.0,0
50.0,60.0,0.0,1.0,3.0,2
4.0,90.0,0.0,1.0,4.0,2
10.0,60.0,0.0,0.0,3.0,0
6.0,360.0,0.0,0.0,2.0,3
30.0,120.0,0.0,1.0,2.0,2
8.0,30.0,0.0,1.0,3.0,2
15.0,120.0,1.0,0.0,1.0,1
10.0,180.0,1.0,0.0,3.0,3
8.0,70.0,1.0,1.0,2.0,2
16.0,90.0,0.0,1.0,4.0,2
15.0,60.0,1.0,0.0,3.0,1
5.0,60.0,0.0,0.0,3.0,0
10.0,50.0,1.0,0.0,2.0,1
3.0,120.0,0.0,0.0,3.0,0
12.0,120.0,0.0,1.0,1.0,0
5.0,60.0,0.0,0.0,4.0,0
10.0,60.0,0.0,0.0,2.0,0
6.0,35.0,0.0,0.0,3.0,0
